house_id,square_footage,number_of_rooms,number_of_bathrooms,lot_size_sqft,distance_to_city_center_km,year_built,has_garage,quality_score,school_rating,building_material,heating_type,price_k_usd
1000,1660,4,2.5,13501,28.8,2015,Yes,8,5,Stone,Gas,1077.78
1001,4572,5,3.5,10010,24.0,1986,No,6,4,Brick,Gas,1165.15
1002,3892,2,2.5,7959,12.6,1973,Yes,5,4,Wood,Electric,1077.08
1003,1266,4,2.0,9269,29.5,2011,Yes,5,4,Brick,Gas,919.52
1004,4244,5,2.5,9692,11.0,1970,Yes,3,2,Brick,Gas,1073.88
1005,3971,3,2.5,11240,11.8,1986,No,4,5,Stone,Electric,1113.07
1006,3719,2,1.0,14541,18.7,1984,Yes,7,2,Wood,Electric,956.08
1007,930,2,2.5,9177,9.0,1987,No,10,2,Brick,Electric,779.95
1008,2485,3,2.0,11903,21.3,2002,No,6,4,Stone,Oil,1044.57
1009,1569,3,3.5,8766,5.4,1964,Yes,6,2,Wood,Electric,798.73
1010,3191,5,4.0,11455,4.1,1991,Yes,10,5,Wood,Oil,1345.33
1011,3233,2,2.0,8104,16.5,1953,Yes,10,5,Wood,Gas,1221.49
1012,1984,5,4.0,5501,17.1,1988,No,8,2,Brick,Electric,897.69
1013,4185,3,2.0,9668,4.1,1972,Yes,8,5,Brick,Gas,1269.07
1014,4917,2,2.5,6823,29.0,1964,Yes,5,1,Wood,Electric,991.61
1015,3704,3,1.0,4067,17.6,1961,Yes,9,2,Wood,Electric,989.2
1016,1274,5,1.5,13523,5.4,2019,Yes,4,4,Brick,Gas,899.33
1017,1882,5,3.5,14512,10.0,2003,Yes,5,4,Wood,Gas,1004.16
1018,3358,5,3.5,10676,24.2,1987,Yes,3,5,Wood,Electric,1086.29
1019,2847,2,2.0,14799,16.2,1977,No,4,5,Brick,Gas,899.07
1020,3547,3,2.0,11944,6.5,1968,No,3,4,Wood,Gas,985.51
1021,1775,3,2.0,4763,4.0,2018,Yes,6,1,Brick,Gas,935.91
1022,2606,5,3.5,9572,13.5,2013,Yes,10,4,Wood,Electric,1192.21
1023,989,5,1.5,12669,10.8,1953,Yes,5,2,Wood,Gas,671.06
1024,3534,5,2.0,8613,20.0,1959,No,8,4,Wood,Gas,1072.43
1025,3805,5,3.0,14981,27.8,1961,Yes,10,3,Brick,Oil,1298.75
1026,2699,4,3.5,9039,8.2,2018,Yes,5,1,Stone,Gas,1068.35
1027,2067,4,1.0,5023,25.8,1956,Yes,7,1,Brick,Electric,770.72
1028,2328,4,3.0,9838,27.7,1993,No,4,4,Wood,Electric,1004.66
1029,4002,5,2.5,14084,27.2,1972,Yes,9,3,Brick,Gas,1303.27
1030,4356,5,1.5,9576,28.6,1951,No,6,2,Brick,Oil,1072.85
1031,4690,3,3.0,8738,25.4,1986,Yes,7,4,Stone,Gas,1323.41
1032,1446,2,2.5,10814,18.2,2018,No,7,2,Wood,Gas,789.74
1033,3688,3,1.5,6426,12.9,1969,No,5,3,Wood,Electric,919.54
1034,3235,4,2.0,10758,15.3,1993,No,4,4,Wood,Electric,903.98
1035,1400,3,3.0,8742,26.3,2019,Yes,5,4,Wood,Gas,943.34
1036,3163,5,1.5,5531,9.7,2023,Yes,10,2,Brick,Gas,1226.23
1037,2861,4,2.0,8699,5.6,2000,No,4,4,Wood,Gas,955.2
1038,1041,4,1.5,5401,5.1,1980,No,10,3,Wood,Oil,861.16
1039,2841,2,2.0,9858,25.0,1990,Yes,7,4,Wood,Gas,1124.22
1040,3624,2,1.5,4654,23.1,2007,Yes,3,5,Wood,Electric,992.48
1041,3412,4,2.0,12966,15.4,1954,Yes,6,3,Wood,Gas,1049.22
1042,2163,4,1.5,10622,9.0,1982,Yes,10,1,Wood,Electric,935.08
1043,2278,3,2.0,10053,20.7,1992,Yes,7,2,Brick,Electric,917.63
